title,url,img,ingredients
Shrimp Po’ Boys,https://www.budgetbytes.com/shrimp-po-boys/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['large peeled and deveined shrimp', 'flour', 'eggs', 'buttermilk', ""Tony Chachere's seasoning, divided"", 'freshly cracked black pepper', 'plain panko breadcrumbs', 'vegetable oil*']"
Creamy Dijon Chicken,https://www.budgetbytes.com/creamy-dijon-chicken/,https://www.budgetbytes.com/wp-content/uploads/2024/08/Creamy-Dijon-Chicken-Overhead-268x200.jpg,"['Italian seasoning', 'garlic powder', 'onion powder', 'salt', 'freshly cracked black pepper', 'boneless, skinless chicken breast (about 1.3 lb.)', 'olive oil', 'butter', 'cloves of garlic, minced', 'chicken broth', 'Dijon mustard', 'Worcestershire sauce', 'heavy cream', 'grated parmesan cheese', 'spinach']"
Air Fryer Salmon,https://www.budgetbytes.com/air-fryer-salmon/,https://www.budgetbytes.com/wp-content/uploads/2024/06/Air-Fryer-Salmon-in-Basket-268x200.jpg,"['Atlantic salmon, skin on; thawed if frozen', 'Cooking Spray', 'soy sauce', 'brown sugar', 'freshly cracked black pepper', 'garlic powder']"
Chicken Sausage White Bean Skillet,https://www.budgetbytes.com/chicken-sausage-white-bean-skillet/,https://www.budgetbytes.com/wp-content/uploads/2024/08/Chicken-Sausage-White-Bean-Skillet-Plated-268x200.jpg,"['fully-cooked chicken sausage links (about 12 oz.)', 'cooking oil, divided', 'small yellow onion, diced', 'cloves of garlic, minced', 'cans cannellini beans, drained', 'salt', 'dried oregano', 'smoked paprika', 'freshly cracked black pepper', 'chicken broth', 'spinach, roughly chopped']"
Overnight Oats (Base Recipe plus Variations),https://www.budgetbytes.com/overnight-oats-base-recipe-plus-variations/,https://www.budgetbytes.com/wp-content/uploads/2024/08/Overnight-Oats-Close-268x200.jpg,"['old fashioned oats', 'milk', 'brown sugar*', 'cinnamon', 'chia seeds', 'pinch of salt']"
S’mores Dip,https://www.budgetbytes.com/smores-dip/,https://www.budgetbytes.com/wp-content/uploads/2024/08/Smores-Dip-Close-268x200.jpg,"['semi-sweet chocolate chips', 'white chocolate chips', 'mini marshmallows', 'box Graham crackers']"
Cheese Tortellini And Sausage Skillet,https://www.budgetbytes.com/cheese-tortellini-and-sausage-skillet/,https://www.budgetbytes.com/wp-content/uploads/2024/08/Cheese-Tortellini-and-Sausage-Overhead-268x200.jpg,"['cooking oil', 'Italian sausage', 'small yellow onion, diced', 'cloves of garlic, minced', 'salt', 'garlic powder', 'dried oregano', 'freshly cracked black pepper', 'marinara sauce', 'chicken broth', 'refrigerated cheese tortellini', 'spinach', 'mozzarella cheese']"
Zucchini Lasagna,https://www.budgetbytes.com/zucchini-lasagna/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['24 oz. jar tomato sauce', 'tomato paste', 'ground Italian sausage']"
Honey Garlic Chicken,https://www.budgetbytes.com/honey-garlic-chicken/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['honey', 'soy sauce', 'rice vinegar', 'sriracha', 'toasted sesame oil', 'cornstarch']"
Tuscan White Bean Stuffed Tomatoes,https://www.budgetbytes.com/tuscan-white-bean-stuffed-tomatoes/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20268%20200'%3E%3C/svg%3E","['large “slicing” tomatoes*', 'can cannellini beans', 'carrot, peeled', 'yellow onion', 'sticks celery', 'olive oil, divided', 'zucchini, diced small', 'sprig rosemary**', 'dried Italian herb blend', 'salt', 'apple cider vinegar', 'freshly cracked black pepper', 'red pepper flakes', 'cloves garlic, minced', 'can tomato sauce', 'bread crumbs', 'shredded Italian cheese blend***']"
